star	group	ID	ID_alt	star_alt1	star_alt2	origin	snr	R	Rmax	Teff	eTeff	logg	elogg	vmic	evmic	vmac	vsini	e_vsini	[Ca/H]	e[Ca/H]	[Co/H]	e[Co/H]	[Cr/H]	e[Cr/H]	[Fe/H]	e[Fe/H]	[Mg/H]	e[Mg/H]	[Mn/H]	e[Mn/H]	[Ni/H]	e[Ni/H]	[Sc/H]	e[Sc/H]	[Si/H]	e[Si/H]	[Ti/H]	e[Ti/H]	[V/H]	e[V/H]	[Ca 1/H]	e[Ca 1/H]	n[Ca 1/H]	[Co 1/H]	e[Co 1/H]	n[Co 1/H]	[Cr 1/H]	e[Cr 1/H]	n[Cr 1/H]	[Fe 1/H]	e[Fe 1/H]	n[Fe 1/H]	[Fe 2/H]	e[Fe 2/H]	n[Fe 2/H]	[Mg 1/H]	e[Mg 1/H]	n[Mg 1/H]	[Mn 1/H]	e[Mn 1/H]	n[Mn 1/H]	[Ni 1/H]	e[Ni 1/H]	n[Ni 1/H]	[Sc 2/H]	e[Sc 2/H]	n[Sc 2/H]	[Si 1/H]	e[Si 1/H]	n[Si 1/H]	[Ti 1/H]	e[Ti 1/H]	n[Ti 1/H]	[Ti 2/H]	e[Ti 2/H]	n[Ti 2/H]	[V 1/H]	e[V 1/H]	n[V 1/H]	n_spectra	flag
HIP101345	G Subgiant (IV)	HD195564_HAR_1	HIP101345_HARPS_1	HD195564	-	HARPS	902	42000	115000	5514	116	3.95	0.09	1.19	0.02	3.54	2.2	1.2	-0.021	0.034	-0.072	0.04	-0.069	0.018	-0.037	0.03	-0.002	0.027	-0.11	0.048	-0.06	0.015	0.048	0.015	0.033	0.024	-0.044	0.024	-0.121	0.024	-0.021	0.034	34	-0.072	0.04	18	-0.069	0.018	23	-0.047	0.031	193	0.063	0.019	19	-0.002	0.027	2	-0.11	0.048	10	-0.06	0.015	34	0.048	0.015	8	0.033	0.024	12	-0.065	0.023	34	0.062	0.027	7	-0.121	0.024	27	2	-
HIP101345	G Subgiant (IV)	HD195564_NAR_1	HIP101345_NARVAL_1	HD195564	-	NARVAL	369	42000	68000	5514	116	3.95	0.09	1.19	0.02	3.54	0.0	0.8	-0.021	0.034	-0.072	0.04	-0.069	0.018	-0.037	0.03	-0.002	0.027	-0.11	0.048	-0.06	0.015	0.048	0.015	0.033	0.024	-0.044	0.024	-0.121	0.024	-0.021	0.034	34	-0.072	0.04	18	-0.069	0.018	23	-0.047	0.031	193	0.063	0.019	19	-0.002	0.027	2	-0.11	0.048	10	-0.06	0.015	34	0.048	0.015	8	0.033	0.024	12	-0.065	0.023	34	0.062	0.027	7	-0.121	0.024	27	2	-
HIP10234	K Giant (III)	HD13468_FER_1	HIP10234_FEROS_1	HD13468	-	FEROS	121	42000	48000	4676	80	2.37	0.09	1.4	0.04	4.45	1.7	0.6	-0.33	0.043	-0.367	0.063	-0.452	0.059	-0.331	0.047	-0.201	0.056	-0.508	0.101	-0.373	0.037	-0.207	0.04	-0.092	0.05	-0.406	0.056	-0.532	0.061	-0.33	0.043	33	-0.367	0.063	19	-0.452	0.059	23	-0.349	0.049	188	-0.151	0.028	18	-0.201	0.056	2	-0.508	0.101	10	-0.373	0.037	35	-0.207	0.04	8	-0.092	0.05	12	-0.447	0.059	36	-0.221	0.042	8	-0.532	0.061	29	2	-
HIP10234	K Giant (III)	HD13468_HAR_1	HIP10234_HARPS_1	HD13468	-	HARPS	95	42000	115000	4676	80	2.37	0.09	1.4	0.04	4.45	3.8	1.0	-0.33	0.043	-0.367	0.063	-0.452	0.059	-0.331	0.047	-0.201	0.056	-0.508	0.101	-0.373	0.037	-0.207	0.04	-0.092	0.05	-0.406	0.056	-0.532	0.061	-0.33	0.043	33	-0.367	0.063	19	-0.452	0.059	23	-0.349	0.049	188	-0.151	0.028	18	-0.201	0.056	2	-0.508	0.101	10	-0.373	0.037	35	-0.207	0.04	8	-0.092	0.05	12	-0.447	0.059	36	-0.221	0.042	8	-0.532	0.061	29	2	-
HIP102422	K Subgiant (IV)	HD198149_NAR_1	HIP102422_NARVAL_1	HD198149	-	NARVAL	908	42000	68000	4751	73	3.15	0.05	1.0	0.01	3.99	0.5	0.4	-0.35	0.048	-0.302	0.058	-0.395	0.035	-0.318	0.046	-0.228	0.022	-0.435	0.087	-0.294	0.044	-0.2	0.044	-0.103	0.041	-0.386	0.056	-0.447	0.047	-0.35	0.048	32	-0.302	0.058	19	-0.395	0.035	26	-0.336	0.047	187	-0.134	0.033	18	-0.228	0.022	2	-0.435	0.087	10	-0.294	0.044	34	-0.2	0.044	8	-0.103	0.041	11	-0.424	0.062	35	-0.218	0.031	8	-0.447	0.047	30	2	-
HIP103598	K Bright Giant (II)	HD200205_CAF_1	HIP103598_CAFE_1	HD200205	-	CAFE	204	42000	62000	4032	45	1.2	0.06	1.47	0.02	5.28	1.9	4.59	-0.49	0.05	-0.41	0.071	-0.57	0.057	-0.468	0.086	-0.211	0.035	-0.461	0.046	-0.452	0.061	-0.445	0.078	-0.244	0.091	-0.425	0.069	-0.486	0.136	-0.49	0.05	21	-0.41	0.071	16	-0.57	0.057	16	-0.474	0.08	155	-0.411	0.147	14	-0.211	0.035	2	-0.461	0.046	6	-0.452	0.061	26	-0.445	0.078	6	-0.244	0.091	8	-0.403	0.081	16	-0.468	0.044	8	-0.486	0.136	22	2	-
HIP103598	K Bright Giant (II)	HD200205_HER_1	HIP103598_HERMES_1	HD200205	-	HERMES	389	42000	80000	4032	45	1.2	0.06	1.47	0.02	5.28	0.0	0.0	-0.49	0.05	-0.41	0.071	-0.57	0.057	-0.468	0.086	-0.211	0.035	-0.461	0.046	-0.452	0.061	-0.445	0.078	-0.244	0.091	-0.425	0.069	-0.486	0.136	-0.49	0.05	21	-0.41	0.071	16	-0.57	0.057	16	-0.474	0.08	155	-0.411	0.147	14	-0.211	0.035	2	-0.461	0.046	6	-0.452	0.061	26	-0.445	0.078	6	-0.244	0.091	8	-0.403	0.081	16	-0.468	0.044	8	-0.486	0.136	22	2	-
HIP104214	K Dwarf (V)	HD201091_ESP_1	HIP104214_ESPADONS_1	HD201091	61CygA	ESPADONS	968	42000	68000	4398	34	4.63	0.01	0.2	0.39	4.14	1.9	1.2	-0.334	0.076	-0.249	0.094	-0.248	0.141	-0.321	0.144	-0.347	0.014	-0.404	0.038	-0.314	0.085	-0.33	0.139	-0.267	0.161	-0.278	0.127	-0.249	0.078	-0.334	0.076	12	-0.249	0.094	24	-0.248	0.141	27	-0.326	0.139	224	-0.223	0.244	13	-0.347	0.014	3	-0.404	0.038	11	-0.314	0.085	44	-0.33	0.139	12	-0.267	0.161	6	-0.285	0.133	37	-0.25	0.106	9	-0.249	0.078	47	3	-
HIP104214	K Dwarf (V)	HD201091_NAR_1	HIP104214_NARVAL_1	HD201091	61CygA	NARVAL	1320	42000	68000	4398	34	4.63	0.01	0.2	0.39	4.14	5.0	2.0	-0.334	0.076	-0.249	0.094	-0.248	0.141	-0.321	0.144	-0.347	0.014	-0.404	0.038	-0.314	0.085	-0.33	0.139	-0.267	0.161	-0.278	0.127	-0.249	0.078	-0.334	0.076	12	-0.249	0.094	24	-0.248	0.141	27	-0.326	0.139	224	-0.223	0.244	13	-0.347	0.014	3	-0.404	0.038	11	-0.314	0.085	44	-0.33	0.139	12	-0.267	0.161	6	-0.285	0.133	37	-0.25	0.106	9	-0.249	0.078	47	3	-
HIP104217	K Dwarf (V)	HD201092_ESP_1	HIP104217_ESPADONS_1	HD201092	61CygB	ESPADONS	729	42000	68000	4174	47	4.68	0.02	0.2	0.5	4.65	5.0	2.0	-0.452	0.093	-0.31	0.176	-0.435	0.133	-0.591	0.209	-0.55	0.015	-0.564	0.074	-0.5	0.123	-0.47	0.234	0.132	0.043	-0.404	0.106	-0.46	0.078	-0.452	0.093	13	-0.31	0.176	24	-0.435	0.133	27	-0.591	0.209	222			0	-0.55	0.015	3	-0.564	0.074	9	-0.5	0.123	25	-0.47	0.234	11	0.132	0.043	3	-0.424	0.084	28	-0.343	0.174	9	-0.46	0.078	43	3	-
