recno,HIP,HD,Name,GaiaDR3,RA_ICRS,DE_ICRS,ThetaLD,e_ThetaLD,Indirect,r_ThetaLD,GBSV1,GBSV2,Plx,e_Plx,o_Plx,Av,FbolAv0,e_FbolAv0,Fbol,e_Fbol,Teff,e_Teff,reTeff,Lum,e_Lum,Rad,e_Rad,MassB,e_MassB,MassS,e_MassS,logg,e_logg,[Fe/H],e_[Fe/H],Dnu,e_Dnu,r_Dnu,numax,e_numax,r_numax,loggSeis,e_loggSeis,RadSeis,e_RadSeis,MassSeis,e_MassSeis
1,"HIP101345","HD195564"," ",6904703228801028864,308.0987,-9.8534,0.712,0.03,,"2013ApJ...771...40B",,,40.42,0.05,G,0.013,15.7,0.097,15.607,0.086,5514,116,2.1,2.986,0.018,1.894,0.08,1.107,0.01,1.236,0.216,3.95,0.09,0.05,0.02,,,"                   ",,,"                   ",,,,,,
2,"HIP10234 ","HD13468 ","*  63 Cet",2494336311948357504,32.8993,-1.8254,0.886,0.01,,"2018A&A...616A..68G",,,8.62,0.04,G,0.024,12.449,0.773,12.499,0.802,4676,80,1.7,52.579,3.407,11.051,0.135,1.155,0.182,0.926,0.117,2.37,0.09,-0.13,0.03,,,"                   ",,,"                   ",,,,,,
3,"HIP102422","HD198149","* eta Cep",2195115561168483712,311.3224,61.8388,2.882,0.088,,"2016ApJS..227....4H",,,69.6,0.13,G,0.008,141.294,0.732,140.897,0.737,4751,73,1.5,9.091,0.058,4.452,0.136,0.982,0.04,1.06,0.068,3.15,0.05,-0.13,0.02,17.23,0.05,"2021ApJ...922...18O",228.0,2.0,"2021ApJ...922...18O",3.25,0.02,4.033,0.04,1.435,0.132
4,"HIP103598","HD200205"," ",2190891581091291520,314.8558,59.4386,2.032,0.043,,"2010ApJ...710.1365B",,,4.8,0.05,G,0.067,36.033,0.568,36.344,0.523,4032,45,1.1,493.052,12.486,45.515,1.074,0.932,0.098,1.574,0.088,1.2,0.06,-0.36,0.03,,,"                   ",,,"                   ",,,,,,
5,"HIP104214","HD201091","*  61 Cyg A",1872046609345556480,316.7247,38.7494,1.775,0.013,,"2008A&A...488..667K",1,1,285.99,0.06,G,0.0,39.248,1.025,39.236,1.058,4398,34,0.8,0.15,0.004,0.667,0.005,0.695,0.007,0.679,0.009,4.63,0.01,-0.13,0.03,,,"                   ",,,"                   ",,,,,,
6,"HIP104217","HD201092","*  61 Cyg B",1872046574983497216,316.7303,38.742,1.581,0.022,,"2008A&A...488..667K",1,1,286.01,0.03,G,0.0,25.154,0.891,25.256,0.907,4174,47,1.1,0.097,0.003,0.594,0.008,0.613,0.011,0.617,0.009,4.68,0.02,-0.21,0.07,,,"                   ",,,"                   ",,,,,,
7,"HIP104659","HD201891"," ",1787990525934491776,317.996,17.7277,0.273,0.004,1,"2016A&A...592A..70H",,1,29.91,0.02,G,0.023,3.3,0.002,3.303,0.002,6040,44,0.7,1.154,0.002,0.981,0.014,0.762,0.003,0.779,0.006,4.34,0.02,-1.02,0.01,,,"                   ",,,"                   ",,,,,,
8,"HIP106039","HD204381","*  b Cap",6828451375858909568,322.1808,-21.8072,1.524,0.017,,"2018A&A...616A..68G",,,17.47,0.18,G,0.018,51.636,0.46,51.455,0.499,5079,31,0.6,52.697,1.2,9.379,0.142,2.157,0.139,2.508,0.079,2.86,0.04,-0.11,0.05,,,"                   ",,,"                   ",,,,,,
9,"HIP108535","HD209369","*  16 Cep",2278918344568877056,329.8124,73.1799,0.621,0.017,,"2016A&A...586A..94L",,,27.23,0.07,G,0.022,26.588,0.159,26.722,0.147,6754,93,1.4,11.264,0.085,2.452,0.067,1.543,0.061,1.503,0.11,3.84,0.05,-0.24,0.1,,,"                   ",,,"                   ",,,,,,
10,"HIP108870","HD209100","* eps Ind",6412595290592307840,330.8402,-56.786,1.817,0.013,,"2020MNRAS.493.2377R",,,274.84,0.1,G,0.0,52.977,1.292,52.557,1.388,4676,35,0.7,0.217,0.006,0.711,0.005,0.722,0.007,0.726,0.012,4.59,0.01,-0.13,0.03,,,"                   ",,,"                   ",,,,,,
11,"HIP109176","HD210027","* iot Peg",1891598193816300544,331.7528,25.3451,1.206,0.053,,"2009ApJ...694.1085V",,,84.01,0.2,G,0.007,82.586,0.313,82.209,0.332,6419,141,2.2,3.641,0.023,1.543,0.068,1.243,0.03,1.218,0.032,4.15,0.06,-0.11,0.02,,,"                   ",,,"                   ",,,,,,
12,"HIP109937","HD211388","*   1 Lac",1907131544341497600,333.9924,37.7487,3.371,0.049,,"2018AJ....155...30B",,,4.81,0.13,G,0.132,123.04,3.247,124.423,3.205,4258,41,1.0,1680.929,100.653,75.351,2.312,4.562,0.249,5.668,0.178,1.39,0.05,-0.05,0.07,,,"                   ",,,"                   ",,,,,,
13,"HIP11095 ","HD15248 "," ",4643560452496180992,35.718,-73.6458,0.949,0.019,,"2018A&A...616A..68G",,,9.21,0.02,G,0.032,14.973,0.239,14.899,0.271,4721,52,1.1,54.901,1.025,11.078,0.223,1.327,0.148,2.237,0.134,2.59,0.06,0.06,0.05,,,"                   ",,,"                   ",,,,,,
14,"HIP111944","HD214868","*  11 Lac",1982252790090609152,340.1286,44.2763,2.731,0.02,,"2010ApJ...710.1365B",,,9.32,0.11,G,0.045,77.614,1.974,77.516,2.267,4203,34,0.8,278.93,10.483,31.505,0.438,1.077,0.114,1.62,0.138,1.56,0.06,-0.2,0.02,,,"                   ",,,"                   ",,,,,,
15,"HIP112440","HD215665","* lam Peg",1876331990259358976,341.6328,23.5657,2.26,0.1,,"1999AJ....118.3032N",,,8.6,0.32,G,0.055,94.084,1.18,93.948,1.344,4848,109,2.2,397.037,30.088,28.254,1.633,3.783,0.154,3.944,0.152,2.12,0.08,-0.07,0.06,,,"                   ",,,"                   ",,,,,,
16,"HIP112447","HD215648","* ksi Peg",2719475542667772416,341.6733,12.1729,1.091,0.008,,"2012ApJ...746..101B",,,60.92,0.17,G,0.009,59.529,0.136,59.431,0.155,6223,23,0.4,5.005,0.031,1.925,0.015,1.172,0.008,1.233,0.121,3.95,0.04,-0.27,0.02,,,"                   ",,,"                   ",,,,,,
17,"HIP112731","HD216174"," ",2003961238426647680,342.443,55.9028,1.598,0.012,,"2016AJ....152...66B",,,8.29,0.07,G,0.052,29.03,0.842,28.986,0.863,4297,36,0.8,131.833,4.511,20.725,0.234,0.87,0.015,0.902,0.053,1.75,0.03,-0.55,0.03,,,"                   ",,,"                   ",,,,,,
