grid_version,teff,logg,feh,lam_min,lam_max,lam_step,turbvel,t_value,a,c,n,o,r,s,output_mode,mode,calculation_mode
intensity-demo,4865,2.14,0.302,4000.0,8000.0,0.01,05,02,-0.08,+0.00,+0.19,+0.00,+0.00,+0.07,Intensity,1D,LTE
intensity-demo,4539,4.313,-0.213,4000.0,8000.0,0.01,05,00,+0.06,+0.00,+0.17,+0.00,+0.00,-0.03,Intensity,1D,LTE
intensity-demo,5278,2.179,-0.045,4000.0,8000.0,0.01,03,05,-0.05,+0.00,+0.06,+0.00,+0.00,-0.02,Intensity,1D,LTE
intensity-demo,4178,2.339,-2.448,4000.0,8000.0,0.01,01,01,+0.11,+0.00,+0.16,+0.00,+0.00,+0.03,Intensity,1D,LTE
intensity-demo,4575,1.336,-2.16,4000.0,8000.0,0.01,05,05,+0.06,+0.00,+0.25,+0.00,+0.00,+0.12,Intensity,1D,LTE
intensity-demo,5436,1.425,0.255,4000.0,8000.0,0.01,05,01,+0.01,+0.00,+0.09,+0.00,+0.00,+0.02,Intensity,1D,LTE
intensity-demo,5806,2.747,-0.711,4000.0,8000.0,0.01,05,05,+0.09,+0.00,+0.13,+0.00,+0.00,-0.04,Intensity,1D,LTE
intensity-demo,4069,2.647,0.443,4000.0,8000.0,0.01,04,00,-0.01,+0.00,+0.14,+0.00,+0.00,+0.19,Intensity,1D,LTE
intensity-demo,4963,4.765,-0.919,4000.0,8000.0,0.01,01,01,+0.04,+0.00,+0.18,+0.00,+0.00,-0.05,Intensity,1D,LTE
intensity-demo,6129,2.27,-1.792,4000.0,8000.0,0.01,02,01,-0.01,+0.00,-0.01,+0.00,+0.00,+0.07,Intensity,1D,LTE
intensity-demo,4890,3.785,-0.906,4000.0,8000.0,0.01,02,00,-0.13,+0.00,-0.09,+0.00,+0.00,+0.00,Intensity,1D,LTE
intensity-demo,6631,3.616,-1.734,4000.0,8000.0,0.01,05,01,-0.11,+0.00,-0.04,+0.00,+0.00,+0.17,Intensity,1D,LTE
intensity-demo,4820,0.277,-0.081,4000.0,8000.0,0.01,04,02,-0.09,+0.00,-0.00,+0.00,+0.00,+0.20,Intensity,1D,LTE
intensity-demo,6508,0.802,-1.711,4000.0,8000.0,0.01,03,00,+0.05,+0.00,+0.21,+0.00,+0.00,-0.01,Intensity,1D,LTE
intensity-demo,6925,0.48,-0.871,4000.0,8000.0,0.01,02,02,-0.13,+0.00,-0.02,+0.00,+0.00,+0.01,Intensity,1D,LTE
intensity-demo,5249,4.118,-1.962,4000.0,8000.0,0.01,01,05,-0.04,+0.00,+0.11,+0.00,+0.00,+0.16,Intensity,1D,LTE
intensity-demo,5444,1.579,-0.546,4000.0,8000.0,0.01,01,01,-0.08,+0.00,+0.05,+0.00,+0.00,+0.10,Intensity,1D,LTE
intensity-demo,5613,0.356,-2.395,4000.0,8000.0,0.01,02,00,+0.14,+0.00,+0.01,+0.00,+0.00,+0.14,Intensity,1D,LTE
intensity-demo,5790,0.245,-0.295,4000.0,8000.0,0.01,01,01,+0.00,+0.00,+0.20,+0.00,+0.00,+0.17,Intensity,1D,LTE
intensity-demo,5765,1.381,0.039,4000.0,8000.0,0.01,05,01,+0.08,+0.00,+0.09,+0.00,+0.00,+0.05,Intensity,1D,LTE
intensity-demo,4272,3.663,-1.028,4000.0,8000.0,0.01,02,05,-0.15,+0.00,+0.02,+0.00,+0.00,+0.02,Intensity,1D,LTE
intensity-demo,4625,3.349,-0.97,4000.0,8000.0,0.01,04,01,-0.06,+0.00,+0.07,+0.00,+0.00,+0.08,Intensity,1D,LTE
intensity-demo,5696,1.775,-2.298,4000.0,8000.0,0.01,02,02,+0.08,+0.00,+0.23,+0.00,+0.00,+0.11,Intensity,1D,LTE
intensity-demo,6219,1.261,-0.442,4000.0,8000.0,0.01,03,02,+0.09,+0.00,+0.06,+0.00,+0.00,-0.01,Intensity,1D,LTE
intensity-demo,6008,4.493,0.207,4000.0,8000.0,0.01,03,01,+0.07,+0.00,-0.06,+0.00,+0.00,+0.14,Intensity,1D,LTE
intensity-demo,4025,0.026,-0.826,4000.0,8000.0,0.01,01,01,-0.12,+0.00,+0.02,+0.00,+0.00,-0.01,Intensity,1D,LTE
intensity-demo,5487,1.871,-2.013,4000.0,8000.0,0.01,04,01,-0.09,+0.00,+0.03,+0.00,+0.00,+0.01,Intensity,1D,LTE
intensity-demo,5223,4.02,-0.59,4000.0,8000.0,0.01,05,02,-0.12,+0.00,+0.04,+0.00,+0.00,-0.00,Intensity,1D,LTE
intensity-demo,5197,1.454,-2.369,4000.0,8000.0,0.01,01,01,-0.14,+0.00,+0.23,+0.00,+0.00,-0.04,Intensity,1D,LTE
intensity-demo,5680,3.745,-0.103,4000.0,8000.0,0.01,03,00,-0.12,+0.00,+0.24,+0.00,+0.00,-0.02,Intensity,1D,LTE
intensity-demo,6869,0.305,-0.81,4000.0,8000.0,0.01,02,05,+0.12,+0.00,+0.08,+0.00,+0.00,-0.00,Intensity,1D,LTE
intensity-demo,5546,0.715,-2.431,4000.0,8000.0,0.01,01,01,-0.07,+0.00,-0.04,+0.00,+0.00,+0.04,Intensity,1D,LTE
intensity-demo,5079,1.631,-0.781,4000.0,8000.0,0.01,02,02,+0.01,+0.00,+0.03,+0.00,+0.00,-0.04,Intensity,1D,LTE
intensity-demo,6751,3.236,-2.059,4000.0,8000.0,0.01,02,05,+0.10,+0.00,+0.22,+0.00,+0.00,-0.01,Intensity,1D,LTE
intensity-demo,5395,2.669,-0.682,4000.0,8000.0,0.01,04,01,+0.07,+0.00,+0.08,+0.00,+0.00,+0.13,Intensity,1D,LTE
intensity-demo,6426,2.547,-1.898,4000.0,8000.0,0.01,05,02,+0.12,+0.00,-0.09,+0.00,+0.00,+0.16,Intensity,1D,LTE
intensity-demo,4645,0.556,-1.542,4000.0,8000.0,0.01,05,00,-0.06,+0.00,+0.19,+0.00,+0.00,+0.15,Intensity,1D,LTE
intensity-demo,5508,0.156,-2.491,4000.0,8000.0,0.01,01,01,+0.07,+0.00,+0.15,+0.00,+0.00,+0.15,Intensity,1D,LTE
